"06726: Omsetning av boligeiendommer med bygning i fritt salg, etter region og år"
"region";"1992 Omsetninger (antall)";"1992 Samlet kjøpesum (1 000 kr)";"1992 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1993 Omsetninger (antall)";"1993 Samlet kjøpesum (1 000 kr)";"1993 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1994 Omsetninger (antall)";"1994 Samlet kjøpesum (1 000 kr)";"1994 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1995 Omsetninger (antall)";"1995 Samlet kjøpesum (1 000 kr)";"1995 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1996 Omsetninger (antall)";"1996 Samlet kjøpesum (1 000 kr)";"1996 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1997 Omsetninger (antall)";"1997 Samlet kjøpesum (1 000 kr)";"1997 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1998 Omsetninger (antall)";"1998 Samlet kjøpesum (1 000 kr)";"1998 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1999 Omsetninger (antall)";"1999 Samlet kjøpesum (1 000 kr)";"1999 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2000 Omsetninger (antall)";"2000 Samlet kjøpesum (1 000 kr)";"2000 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2001 Omsetninger (antall)";"2001 Samlet kjøpesum (1 000 kr)";"2001 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2002 Omsetninger (antall)";"2002 Samlet kjøpesum (1 000 kr)";"2002 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2003 Omsetninger (antall)";"2003 Samlet kjøpesum (1 000 kr)";"2003 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2004 Omsetninger (antall)";"2004 Samlet kjøpesum (1 000 kr)";"2004 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2005 Omsetninger (antall)";"2005 Samlet kjøpesum (1 000 kr)";"2005 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2006 Omsetninger (antall)";"2006 Samlet kjøpesum (1 000 kr)";"2006 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2007 Omsetninger (antall)";"2007 Samlet kjøpesum (1 000 kr)";"2007 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2008 Omsetninger (antall)";"2008 Samlet kjøpesum (1 000 kr)";"2008 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2009 Omsetninger (antall)";"2009 Samlet kjøpesum (1 000 kr)";"2009 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2010 Omsetninger (antall)";"2010 Samlet kjøpesum (1 000 kr)";"2010 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2011 Omsetninger (antall)";"2011 Samlet kjøpesum (1 000 kr)";"2011 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2012 Omsetninger (antall)";"2012 Samlet kjøpesum (1 000 kr)";"2012 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2013 Omsetninger (antall)";"2013 Samlet kjøpesum (1 000 kr)";"2013 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2014 Omsetninger (antall)";"2014 Samlet kjøpesum (1 000 kr)";"2014 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2015 Omsetninger (antall)";"2015 Samlet kjøpesum (1 000 kr)";"2015 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2016 Omsetninger (antall)";"2016 Samlet kjøpesum (1 000 kr)";"2016 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2017 Omsetninger (antall)";"2017 Samlet kjøpesum (1 000 kr)";"2017 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2018 Omsetninger (antall)";"2018 Samlet kjøpesum (1 000 kr)";"2018 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2019 Omsetninger (antall)";"2019 Samlet kjøpesum (1 000 kr)";"2019 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2020 Omsetninger (antall)";"2020 Samlet kjøpesum (1 000 kr)";"2020 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2021 Omsetninger (antall)";"2021 Samlet kjøpesum (1 000 kr)";"2021 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2022 Omsetninger (antall)";"2022 Samlet kjøpesum (1 000 kr)";"2022 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2023 Omsetninger (antall)";"2023 Samlet kjøpesum (1 000 kr)";"2023 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2024 Omsetninger (antall)";"2024 Samlet kjøpesum (1 000 kr)";"2024 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2025 Omsetninger (antall)";"2025 Samlet kjøpesum (1 000 kr)";"2025 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)"
"3122 Marker";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43";"121845";"..";"57";"165340";".."
"3124 Aremark";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"43395";"..";"15";"35158";".."
"3201 Bærum";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2271";"20600067";"..";"2577";"23262319";".."
"3203 Asker";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2078";"14419812";"..";"1971";"13837735";".."
"3205 Lillestrøm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1572";"8601384";"..";"1659";"9863149";".."
"3207 Nordre Follo";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1224";"7581185";"..";"1406";"8621002";".."
"3209 Ullensaker";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1073";"5543551";"..";"1168";"5477623";".."
"3212 Nesodden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"306";"2192858";"..";"435";"3126511";".."
"3214 Frogn";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"260";"2035546";"..";"250";"1804700";".."
"3216 Vestby";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"427";"2195467";"..";"521";"2655587";".."
"3218 Ås";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"416";"2389788";"..";"495";"2902048";".."
"3220 Enebakk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"177";"801035";"..";"236";"1065421";".."
"3222 Lørenskog";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"962";"5324566";"..";"1179";"6641314";".."
"3224 Rælingen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"357";"1977816";"..";"353";"2192693";".."
"3226 Aurskog-Høland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"388";"1385226";"..";"441";"1650821";".."
"3228 Nes";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"448";"1700531";"..";"489";"1892090";".."
"3230 Gjerdrum";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"136";"638080";"..";"130";"634009";".."
"3232 Nittedal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"277";"1545054";"..";"287";"1641630";".."
